
Time
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,1315,1330,1360,2551,8632,35394,161820,715180,5618572
tmpfs,260,263,328,450,937,2852,10515,32884,215145
pmfs,301,268,298,400,841,2473,9153,29316,189457

MajorPageFaults
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,1,1,1,1,1,1,1,1,1
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

MinorPageFaultsnPages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,23,24,38,86,278,1046,4214,16790,128022
tmpfs,24,25,39,87,279,1047,4215,16791,128023
pmfs,24,25,39,87,279,1047,4215,16791,128023

cache-references
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,10858,10449,11131,11002,10656,10481,10185,13188,12617
tmpfs,10613,10789,10118,10288,10669,10633,10554,10494,10693
pmfs,10452,10415,11054,10780,10767,10501,10854,10267,10472

cache-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,920,952,933,1095,1074,925,980,2538,1083
tmpfs,899,1011,943,1071,1049,982,1012,967,976
pmfs,891,889,914,1065,1021,1104,994,1002,969

L1-dcache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,437981,433460,433791,441415,432845,431802,433046,459732,447691
tmpfs,432143,435665,429492,428851,435986,433660,432956,432576,432238
pmfs,430385,429485,432974,436300,433509,426991,435957,427588,431735

L1-dcache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,11321,11183,11269,11377,11023,11078,10961,11928,11634
tmpfs,11028,11270,10980,10996,11262,11173,11067,11251,11198
pmfs,11041,10919,11087,11307,10992,10944,11360,10927,11070

L1-dcache-stores
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-store-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-prefetches
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-dcache-prefetch-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-icache-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

L1-icache-load-misses
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

LLC-loads
Pages,1,2,16,64,256,1024,4192,16768,128000
malloc,
ext4,0,0,0,0,0,0,0,0,0
tmpfs,0,0,0,0,0,0,0,0,0
pmfs,0,0,0,0,0,0,0,0,0

LLC-load-misses
